STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,04/01/2000,60,"H,,S",78,",,S",47,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,06/01/2000,55,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,11/01/2000,65,"H,,S",73,",,S",47,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,12/01/2000,59,"H,,S",73,",,S",47,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,14/01/2000,53,"H,,S",72,",,S",44,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,18/01/2000,52,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,19/01/2000,58,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,20/01/2000,54,"H,,S",68,",,S",40,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,24/01/2000,56,"H,,S",75,",,S",42,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,26/01/2000,57,"H,,S",74,",,S",46,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,27/01/2000,67,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,28/01/2000,62,"H,,S",77,",,S",50,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,30/01/2000,57,"H,,S",72,",,S",50,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,03/02/2000,63,"H,,S",75,",,S",45,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,09/02/2000,48,"H,,S",61,",,S",39,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,11/02/2000,60,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,15/02/2000,65,"H,,S",82,",,S",51,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,17/02/2000,64,"H,,S",80,",,S",51,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,21/02/2000,60,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,24/02/2000,68,"H,,S",77,",,S",51,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,25/02/2000,62,"H,,S",77,",,S",51,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,27/02/2000,57,"H,,S",77,",,S",51,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,29/02/2000,64,"H,,S",74,",,S",47,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,01/03/2000,69,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,02/03/2000,63,"H,,S",79,",,S",50,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,03/03/2000,71,"H,,S",79,",,S",50,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,06/03/2000,52,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,08/03/2000,65,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,09/03/2000,71,"H,,S",77,",,S",52,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,10/03/2000,70,"H,,S",79,",,S",52,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,14/03/2000,63,"H,,S",75,",,S",47,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,16/03/2000,60,"H,,S",77,",,S",50,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,20/03/2000,65,"H,,S",80,",,S",51,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,24/03/2000,68,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,28/03/2000,68,"H,,S",81,",,S",56,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,01/04/2000,65,"H,,S",84,",,S",56,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,05/04/2000,59,"H,,S",72,",,S",48,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,11/04/2000,65,"H,,S",79,",,S",54,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,13/04/2000,62,"H,,S",77,",,S",55,",,S"
